契約,ch,種別,CIRCUITNUMBER,EXTRANUMBER,Product,ch,消費,tenant,,請求確認企業,必要対応,,"回線数
0ABJ:¥500 FC:¥2,000","ch
¥1,500
ユニットchの対応が必要かどうか",IP回線基本料,担当,
,,追加番号,0342125947,0120995379,Lead,1ch,1ch,tearjapan01,,株式会社ティアジャパン,,IP回線基本料ー確認必要,◯,◯,"あり（4,500）",ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3ALfR9_JkKjfInIj97jZIqWw
,,追加番号,0342125948,,Lead,1ch,1ch,miraiz,,miraiz株式会社,,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3A3-yxfT18j0IVoElcoRE7qA
,,,,,,,,,,,,,,,,,
"【再販03番号契約９】03番号（F-circuit05 ⑤）
d944035480
25ch
本契約コードの次回申請は4/19以降の申請が可能",25,基本番号,0342418780,,,,,No matching records found,,,,,,,,,
,,追加番号,0342418781,,Lead,25ch,25ch,cellpromote01,,セルプロモート株式会社,請求修正ー確認必要,IP回線基本料ー確認必要,◯,"【過剰】チャネル利用料：単価が500円高い

【ユニットch対応】以下3パターン
①手数料をいただいてグループ化を実施（＋SA~SC回線へ同番移行）
②25chを5回線で分け合うか
③25*5で100chいただくか","あり（4,500）",ota,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AZwRVc7cS7NZrPkCMmarZOQ
,,追加番号,0342418782,,Lead,25ch,,cellpromote01,,,,,,,,,
,,追加番号,0342418783,,Lead,25ch,,cellpromote01,,,,,,,,,
,,追加番号,0342418784,,Lead,25ch,,cellpromote01,,,,,,,,,
,,追加番号,0342418785,,Lead,25ch,,cellpromote01,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販03番号契約１０】03番号（G-circuit05 ①）
d892734146
48ch
本契約コードの次回申請は8/1以降の申請が可能",48,基本番号,0345468320,,Lead,48ch,48ch,i-sta,,株式会社アイ・ステーション,,IP回線基本料ー確認必要,◯,"◯
【ユニットch対応】50chに近しいので、専用契約箱とする","あり（4,500）",ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AZKWzyu2tUP4r1ToGg3ZHow
,,追加番号,0345468321,08007775208,Lead,48ch,,i-sta,,,,,,,,,
,,追加番号,0345468322,,Lead,48ch,,i-sta,,,,,,,,,
,,追加番号,0345468323,,Lead,48ch,,i-sta,,,,,,,,,
,,追加番号,0345468324,,Lead,48ch,,i-sta,,,,,,,,,
,,追加番号,0345468325,,Lead,48ch,,i-sta,,,,,,,,,
,,追加番号,0345468327,,Lead,48ch,,i-sta,,,,,,,,,
,,追加番号,0345468328,,Lead,48ch,,i-sta,,,,,,,,,
,,追加番号,0345468329,,Lead,48ch,,i-sta,,,,,,,,,
,,追加番号,0345468347,,Lead,48ch,,i-sta,,,,,,,,,
,,追加番号,0345468358,,Lead,48ch,,i-sta,,,,,,,,,
,,追加番号,0359316721,,Lead,48ch,,i-sta,,,,,,,,,
,,追加番号,0342418980,,Lead,48ch,,i-sta,,,,,,,,,
,,追加番号,0343060111,,Lead,48ch,,i-sta,,,,,,,,,
,,追加番号,0343060133,,Lead,48ch,,i-sta,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販03番号契約１１】03番号（F-circuit10 ①）
d719933273
115ch
本契約コードの次回申請は8/18以降の申請が可能",93,基本番号,0345468356,,,,,No matching records found,,,,,,,,,
,,追加番号,0343060134,,Lead,2ch,2ch,tsunagu,,株式会社つなぐコンサルティング,請求修正ー確認必要,IP回線基本料ー確認必要,◯,【過剰】チャネル利用料：単価が500円高い,"あり（4,500）",,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3ADjeen03ycTmzbkjbwR2xHw
,,追加番号,0343060135,,Lead,5ch,5ch,teleapo-center,,株式会社日本テレアポセンター,請求修正ー確認必要,,◯,【不足】チャネル利用料：1ch不足,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AK02zyxHKA5YEv94l63gpsg
,,追加番号,0343060136,,Lead,5ch,5ch,kakehashi,,株式会社カケハシ,請求修正ー確認必要,,◯,【不足】チャネル利用料：2ch不足,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AdkxzLRHUTDrpxQVQSd5NKQ
,,追加番号,0343060137,,Lead,1ch,1ch,cloud-japan-llc,,合同会社クラウドジャパン,請求修正ー確認必要,,◯,【過剰】チャネル利用料：単価が500円高い,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3A3o3AFgYHhnEdRp-feivFQQ
,,追加番号,0343060139,,Lead,3ch,3ch,n-three,,株式会社N3,請求修正ー確認必要,,【不足】番号利用料0ABJ：1不足,【不足】チャネル利用料：3ch不足,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AQSfbIG04AV_T_KSI3otOdg
,,追加番号,0343060161,,Lead,20ch,20ch,cacgr,,株式会社シーエーシー,対応不要,,請求未開始,請求未開始,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3ADwul6U-n-Ntk1Zsgt6LX3Q
,,追加番号,0343060163,,Lead,5ch,5ch,callhacker001,,株式会社FTJ,対応不要,,◯,◯,なし,,
,,追加番号,0342538912,,Lead,1ch,1ch,callhacker001,,,,,,,,,
,,追加番号,0343060164,,Lead,4ch,4ch,theoq,,合同会社OQ,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AIMdKe70fz1DjHF7sYZOckw
,,追加番号,0342538950,0120984681,Lead,1ch,1ch,eiff,,株式会社Eiff,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3Ao7bSgVMaPujkUiveaF4ejQ
,,追加番号,0342538913,,Lead,21ch,21ch,akexpedition,,株式会社AK expedition,請求修正ー確認必要,,◯,【不足】チャネル利用料：3ch不足,なし,ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AzxM6fU1bxqUSX48yxtOFgA
,,追加番号,0342538914,,Lead,1ch,1ch,designfirst,,デザインファースト株式会社,請求修正ー確認必要,,"【不足】IP回線プランもない
【不足】番号利用料0ABJ：1不足","【不足】IP回線プランもない
【不足】チャネル利用料：1ch不足",なし,ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AkDTAdVkGBcexitRGKgqi0w
,,追加番号,0342538916,,Lead,5ch,5ch,gm-j,,GM住販株式会社,請求修正ー確認必要,,◯,【不足】チャネル利用料：5ch不足,なし,ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3Awg_lDvu6nL5j9e_VCF1RBg
,,追加番号,0342538919,,Lead,2ch,2ch,gm-j,,,,,,,,,
,,追加番号,0342538917,,Lead,2ch,2ch,so-mi,,株式会社想実,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3APVhHO1CDdJbTmwSItAivtQ
,,追加番号,0342538918,,Lead,5ch,5ch,trinias01,,株式会社トリニアス,請求修正ー確認必要,,【不足】番号利用料0ABJ：数確認,"【不足】チャネル利用料：数確認


【ユニットch対応】以下3パターン
①手数料をいただいてグループ化を実施（＋SA~SC回線へ同番移行）
②？？？chを？？？回線で分け合うか
③？？？*？？？で？？？chいただくか",なし,ota,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3A2zPZxS7Jj2W1pQFN1DJYLg
,,追加番号,0342538934,,Lead,5ch,5ch,trinias01,,,,,,,,,
,,追加番号,0342538933,,Lead,5ch,5ch,e3,,株式会社E-3,請求修正ー確認必要,IP回線基本料ー確認必要,◯,"【不足】チャネル利用料：10ch不足

【ユニットch対応】以下3パターン
①手数料をいただいてグループ化を実施（＋SA~SC回線へ同番移行）
②5chを3回線で分け合うか
③5*3で15chいただくか","あり（4,500）",,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AnRjU4UG28dTcsmpp6kwZyQ
,,,,,,,,,,,,,,,,,
"【再販03番号契約１３】03番号（E-circuit05 ⑥）
d322479961
8ch
本契約コードの次回申請は5/2以降の申請が可能",8,基本番号,0359316760,,,,,No matching records found,,,,,,,,,
,,追加番号,0359316761,,Lead,8ch,8ch,cw01,,クレスフォート法律事務所,請求修正ー確認必要,IP回線基本料ー確認必要,【不足】番号利用料0ABJ：1不足,"◯

【ユニットch対応】以下3パターン
①手数料をいただいてグループ化を実施（＋SA~SC回線へ同番移行）
②8chを3回線で分け合うか
③8*3で24chいただくか","あり（3,006）",ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AESonB41-x_vJ5a0Vvn9QUA
,,追加番号,0359316762,,Lead,8ch,,cw01,,,,,,,,,
,,追加番号,0359316763,0120914895,Lead,8ch,,cw01,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販03番号契約１４】03番号（SC-circuit05 ①）
d689989857
5ch
本契約コードの次回申請は6/22以降の申請が可能",5,基本番号,0343661595,,,,,No matching records found,,,,,,,,,
,,追加番号,0359316750,,Lead,,,e3,,株式会社E-3,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販03番号契約１５】03番号（SB-circuit09 ①）
d966918179
56ch
本契約コードの次回申請は8/1以降の申請が可能",46,基本番号,0342182868,,,,,No matching records found,,,,,,,,,
,,追加番号,0343661511,,Lead,1ch,1ch,teleapo-center,,株式会社日本テレアポセンター,,,,,,,
,,追加番号,0342211604,0120907783,Lead,45ch,45ch,trinias01,,株式会社トリニアス,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販03番号契約１６】03番号（SB-circuit10 ①）
d336527840
11ch
本契約コードの次回申請は6/23以降の申請が可能",11,基本番号,0343661585,,,,,No matching records found,,,,,,,,,
,,追加番号,0343661586,,Lead,11ch,11ch,visionary-marketing,,株式会社ビジョナリーマーケティング,請求修正ー確認必要,,◯,"【不足】チャネル利用料：14chなので2ch不足


【ユニットch対応】以下3パターン
①手数料をいただいてグループ化を実施（＋SA~SC回線へ同番移行）
②11chを5回線で分け合うか
③11*5=55ch+3chで58chいただくか",なし,ota,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3ARq87t9px9V8ORveQJEeIYQ
,,追加番号,0343661588,,Lead,11ch,,visionary-marketing,,,,,,,,,
,,追加番号,0343661592,,Lead,11ch,,visionary-marketing,,,,,,,,,
,,追加番号,0343661593,,Lead,11ch,,visionary-marketing,,,,,,,,,
,,追加番号,0342211623,,Lead,11ch,,visionary-marketing,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販03番号契約１７】03番号（G-circuit06 ②）
d728179877
90ch
本契約コードの次回申請は7/11以降の申請が可能",62,基本番号,0345468361,,,,,No matching records found,,,,,,,,,
,,追加番号,0345468362,,Flat,2ch,2ch,again,,株式会社アゲイン,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AI6W0r0GpBagu-0p34nCF3g
,,追加番号,0343060214,,Flat,7ch,7ch,again,,,,,,,,,
,,追加番号,0345468363,,Flat,2ch,2ch,ethica,,株式会社ethica,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AYRrWoFdpsM5OMVGd1AEi7Q
,,追加番号,0345468364,,Flat,6ch,6ch,i-connect,,株式会社アイコネクト,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AbJ91t1jy9g8RAUB5t3PuhQ
,,追加番号,0345468365,,Flat,2ch,2ch,i-connect,,,,,,,,,
,,追加番号,0342418925,,Flat,2ch,2ch,i-connect,,,,,,,,,
,,追加番号,0343060212,,Flat,4ch,4ch,i-connect,,,,,,,,,
,,追加番号,0343060215,,Flat,2ch,2ch,i-connect,,,,,,,,,
,,追加番号,0345468366,,Flat,2ch,2ch,i-connect,,,,,,,,,
,,追加番号,0345468367,,Flat,2ch,2ch,nijinohoshi,,にじのほし株式会社,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AuZgCxJG9gFzHAXfncjVjmg
,,追加番号,0345468369,,Flat,2ch,2ch,ambr,,株式会社ambr,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3ABiH5NneTj_Wdgmf0cjLVww
,,追加番号,0345468370,,Flat,2ch,2ch,ambr,,,,,,,,,
,,追加番号,0345468371,,Flat,2ch,2ch,ambr,,,,,,,,,
,,追加番号,0343166133,,Flat,2ch,2ch,kibo,,株式会社KIBO,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AcwSAgVZjNSIyK_V8FaQeTA
,,追加番号,0345468348,,Flat,2ch,2ch,a-cial04,,株式会社アーシャルデザイン,請求修正ー確認必要,,【不足】番号利用料0ABJ：1不足,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3Aj68kg_NXSm3kUl3emnC5RA
,,追加番号,0342538955,,Flat,2ch,2ch,a-cial-AAT,,,,,,,,,
,,追加番号,0359316723,,Flat,2ch,2ch,ubuntu,,UBUNTU株式会社,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AObbCApxwNHJepUZEFKiOjA
,,追加番号,0359316749,,Flat,10ch,10ch,value~creation,,バリュークリエーション株式会社,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AiOx1RBGGI9qMjMxwwEHzEQ
,,追加番号,0342125934,,Flat,2ch,2ch,Mer,,株式会社Mer,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AuzuRlKRevSCwOpr_55Qm7g
,,追加番号,0342538942,,Flat,2ch,2ch,apms-japan,,株式会社アプメス,対応不要,,◯,◯,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3A0NUjnP5qUiqHPjbOF-pHaA
,,追加番号,0359316747,,Flat,2ch,2ch,apms-japan,,,,,,,,,
,,追加番号,0342538959,,Flat,1ch,1ch,audem,,オウデム株式会社,請求修正ー確認必要,,◯,【過剰】Comdesk Flat Option : チャネルアップ：1ch過剰,なし,,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AMMOSsDLic6V8KbuBQBkSnA
,,,,,,,,,,,,,,,,,
"【再販03番号契約１８】03番号（F-2-circuit09 ①）
d619745709
26ch
本契約コードの次回申請は8/9以降の申請が可能",26,基本番号,0363280452,,,,,,,,,,,,,,
,,追加番号,0363280453,0120542384,Lead,2ch,2ch,ecolog,,株式会社エコログマーケティング,請求修正ー確認必要,,【不足】番号利用料フリーダイヤル：1不足（9月から+1予定）,【不足】チャネル利用料：26chなので5ch不足,なし,atsuki,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3Aa46g2MZprVesD-29DhIsag
,,追加番号,0342844758,0120137704,Lead,21ch,21ch,ecolog,,,,,,"【ユニットch対応】以下3パターン
①手数料をいただいてグループ化を実施（＋SA~SC回線へ同番移行）
②21chを7回線で分け合うか
③21*7で147+5chで152chいただくか",,,
,,追加番号,0342844759,0120137181,Lead,21ch,,ecolog,,,,,,,,,
,,追加番号,0342844761,0120137792,Lead,21ch,,ecolog,,,,,,,,,
,,追加番号,0342844762,0120402378,Lead,21ch,,ecolog,,,,,,,,,
,,追加番号,0342844763,0120137673,Lead,21ch,,ecolog,,,,,,,,,
,,追加番号,0342844764,0120137058,Lead,21ch,,ecolog,,,,,,,,,
,,追加番号,0342844765,0120979791,Lead,21ch,,ecolog,,,,,,,,,
,,追加番号,05030952629,0120985751,Lead,3ch,3ch,ecolog,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販050番号契約１】050番号（E-circuit05 ⑦）
d952055537
20ch
本契約コードの次回申請は4/28以降の申請が可能",20,基本番号,05031861068,,Lead,20ch,20ch,nkcreate,,株式会社エヌ・ケイ・クリエイト,請求修正ー確認必要,IP回線基本料ー確認必要,"【不足】番号利用料0ABJ：1不足
【基本番号利用NGルール】別番号への番号変更をして貰う必要がある","◯

【ユニットch対応】以下3パターン
①手数料をいただいてグループ化を実施（＋SA~SC回線へ同番移行）
②20chを4回線で分け合うか
③20*4で80chいただくか","あり（3,009）",,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AC7PMNx5dRe7mjcgWbUOk8g
,,追加番号,05031861069,,Lead,20ch,,nkcreate,,,,,,,,,
,,追加番号,05031861070,,Lead,20ch,,nkcreate2,,,,,,,,,
,,追加番号,05031861071,,Lead,20ch,,nkcreate3,,,,,,,,,
,,,,,,,,,,,,,,,,,
